Mental Demand,Physical Demand,Temporal Demand,Performance,Effort,Frustration
3,1,3,1,1,1
21,18,5,9,19,20
1,1,3,1,2,1
4,1,1,1,1,2
13,2,9,2,9,10
3,3,2,1,2,2
20,18,1,1,6,1
2,1,3,1,2,1
2,1,2,2,1,1
5,6,5,5,3,3
12,3,4,4,8,4
11,6,8,2,6,7
8,4,6,1,14,1
2,1,21,1,4,1
5,1,2,3,6,2
4,5,8,2,3,6
2,2,3,2,2,1
11,9,5,8,7,6
