Mental Demand,Physical Demand,Temporal Demand,Performance,Effort,Frustration
6,1,2,12,6,1
19,19,3,2,19,16
6,1,16,3,2,8
18,4,1,1,15,5
14,13,14,5,13,12
4,19,4,5,17,16
21,21,1,1,13,1
3,11,1,1,2,1
10,2,1,5,2,1
12,13,7,9,6,12
14,4,7,7,6,4
17,17,7,5,14,15
20,16,5,1,14,9
4,1,21,1,8,1
8,17,2,3,5,6
8,9,15,5,13,6
14,17,4,3,5,2
14,14,9,12,14,3
