Mental Demand,Physical Demand,Temporal Demand,Performance,Effort,Frustration
4,3,5,1,2,2
18,15,11,14,15,9
2,1,6,2,3,2
17,5,1,1,15,8
21,8,5,10,12,15
3,3,3,2,2,2
19,16,10,2,3,1
3,1,10,1,1,1
2,2,2,6,2,1
5,5,5,2,3,3
5,3,7,5,4,3
11,11,4,2,15,12
2,4,5,1,20,1
21,8,17,3,18,3
7,1,2,3,9,6
9,6,5,18,10,13
3,4,2,2,3,2
12,8,6,7,12,4
