Mental Demand,Physical Demand,Temporal Demand,Performance,Effort,Frustration
2,1,1,1,1,1
10,2,9,5,3,7
1,1,4,4,5,3
3,2,1,1,1,1
5,8,7,6,6,8
2,2,5,2,2,2
19,19,1,1,14,1
10,10,2,1,3,1
2,1,1,3,1,1
4,14,6,7,16,16
6,2,4,3,4,3
6,12,11,2,8,2
15,10,4,2,17,4
12,1,18,1,11,1
12,16,7,7,11,5
4,4,16,6,2,3
7,10,3,1,2,1
2,5,2,1,3,2
