Mental Demand,Physical Demand,Temporal Demand,Performance,Effort,Frustration
2,1,1,1,2,1
4,2,3,4,4,3
3,1,7,9,11,13
20,5,1,16,16,8
10,5,6,12,11,5
2,2,5,2,2,3
21,20,1,1,18,1
18,2,2,8,17,3
2,1,1,4,2,1
8,11,4,13,10,9
11,8,7,15,9,8
14,5,14,3,9,5
21,12,10,4,19,10
19,2,19,1,13,1
20,1,8,8,20,17
21,19,21,18,16,10
14,4,2,11,14,5
11,10,4,4,11,2
